Round,Variant,Time
1,SYNC_PULL_TD,9.385000
2,ASYNC_PUSH_TD,19.063000
3,ASYNC_PUSH_DD,19.191000
4,SYNC_PULL_TD,9.378000
5,SYNC_PULL_TD,9.339000
6,SYNC_PULL_TD,9.360000
7,SYNC_PULL_TD,9.431000
8,SYNC_PULL_TD,9.379000
9,SYNC_PULL_TD,9.340000
10,SYNC_PULL_TD,9.291000
11,SYNC_PULL_TD,9.416000
12,SYNC_PULL_TD,9.303000
13,SYNC_PULL_TD,9.337000
14,SYNC_PULL_TD,9.321000
15,SYNC_PULL_TD,9.307000
16,SYNC_PULL_TD,9.292000
17,SYNC_PULL_TD,9.362000
18,SYNC_PULL_TD,9.334000
19,SYNC_PULL_TD,9.368000
20,SYNC_PULL_TD,9.286000
21,SYNC_PULL_TD,9.370000
22,SYNC_PULL_TD,9.319000
23,SYNC_PULL_TD,9.232000
24,SYNC_PULL_TD,9.364000
25,SYNC_PULL_TD,9.371000
26,SYNC_PULL_TD,9.480000
27,SYNC_PULL_TD,9.358000
28,SYNC_PULL_TD,9.428000
29,SYNC_PULL_TD,9.318000
30,SYNC_PULL_TD,9.334000
31,SYNC_PULL_TD,9.413000
32,SYNC_PULL_TD,9.372000
33,SYNC_PULL_TD,9.404000
34,ASYNC_PUSH_DD,13.364000
35,SYNC_PULL_TD,9.361000
36,SYNC_PULL_TD,9.365000
37,SYNC_PULL_TD,9.378000
38,SYNC_PULL_TD,9.288000
39,SYNC_PULL_TD,9.317000
40,SYNC_PULL_TD,9.325000
41,ASYNC_PUSH_DD,16.344000
42,ASYNC_PUSH_DD,7.208000
43,ASYNC_PUSH_DD,40.000000
