Round,Variant,Time
1,SYNC_PULL_TD,3.517000
2,ASYNC_PUSH_TD,1.863000
3,ASYNC_PUSH_DD,7.260000
4,ASYNC_PUSH_TD,1.857000
5,ASYNC_PUSH_TD,1.853000
6,ASYNC_PUSH_TD,1.852000
7,ASYNC_PUSH_TD,1.853000
8,ASYNC_PUSH_TD,1.855000
9,ASYNC_PUSH_TD,1.849000
10,ASYNC_PUSH_TD,1.854000
11,ASYNC_PUSH_TD,1.852000
12,ASYNC_PUSH_TD,1.852000
13,ASYNC_PUSH_TD,1.848000
14,ASYNC_PUSH_TD,1.851000
15,ASYNC_PUSH_TD,1.848000
16,ASYNC_PUSH_DD,2.749000
17,ASYNC_PUSH_DD,2.149000
18,ASYNC_PUSH_DD,1.894000
19,ASYNC_PUSH_DD,1.363000
20,ASYNC_PUSH_DD,1.006000
21,ASYNC_PUSH_DD,0.720000
22,ASYNC_PUSH_DD,0.514000
23,ASYNC_PUSH_DD,0.353000
24,ASYNC_PUSH_DD,0.248000
25,ASYNC_PUSH_DD,0.167000
26,ASYNC_PUSH_DD,0.110000
27,ASYNC_PUSH_DD,0.068000
28,ASYNC_PUSH_DD,0.045000
29,ASYNC_PUSH_DD,0.032000
30,ASYNC_PUSH_DD,0.029000
31,ASYNC_PUSH_DD,0.026000
32,ASYNC_PUSH_DD,0.028000
33,ASYNC_PUSH_DD,0.025000
34,ASYNC_PUSH_DD,0.025000
35,ASYNC_PUSH_DD,0.026000
36,ASYNC_PUSH_DD,0.024000
37,ASYNC_PUSH_DD,0.023000
38,ASYNC_PUSH_DD,0.024000
39,ASYNC_PUSH_DD,0.023000
40,ASYNC_PUSH_DD,0.028000
41,ASYNC_PUSH_DD,0.023000
42,ASYNC_PUSH_DD,0.022000
43,ASYNC_PUSH_DD,0.021000
44,ASYNC_PUSH_DD,0.021000
45,ASYNC_PUSH_DD,0.021000
46,ASYNC_PUSH_DD,0.021000
47,ASYNC_PUSH_DD,0.021000
48,ASYNC_PUSH_DD,0.020000
49,ASYNC_PUSH_DD,0.019000
50,ASYNC_PUSH_DD,0.021000
51,ASYNC_PUSH_DD,0.020000
52,ASYNC_PUSH_DD,0.020000
